,well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,well_depth_ft,top_of_screen_ft,screen_length_ft,source,source_name,other_names
124,ED 447,570.0,AL,2003-04-23,UG/L,=,,38.79051191,-120.88060390000001,DOMESTIC,,,,GAMA,ED 447,JOHNSON RANCH ROAD
179,ED 326,1.0,AG,2003-02-14,UG/L,<,,38.69747528,-120.7752145,DOMESTIC,,,,GAMA,ED 326,WASHBOARD LANE
202,ED 361,1.0,AG,2003-03-06,UG/L,<,,38.57861859,-120.9786123,DOMESTIC,,,,GAMA,ED 361,SWIFT ROAD
261,ED 514,1.0,AL,2004-04-13,UG/L,<,,38.62393732,-120.74659825100001,DOMESTIC,,,,GAMA,ED 514,ELDERBERRY
271,ED 519,1.0,AL,2004-04-12,UG/L,<,,38.676229038,-120.815114633,DOMESTIC,,,,GAMA,ED 519,FOWLER LANE
339,ED 647,1.0,AL,2004-05-14,UG/L,<,,38.817687234,-121.016555133,DOMESTIC,,,,GAMA,ED 647,VIENNA DRIVE
363,ED 697,1.0,AG,2004-05-11,UG/L,<,,39.0009833,-121.26335556,DOMESTIC,,,,GAMA,ED 697,Thermalands Road
403,ED 325,1.0,AL,2003-02-11,UG/L,<,,38.72081051,-120.78442959999998,DOMESTIC,,,,GAMA,ED 325,NICKS LANE
428,ED 403,1.0,AG,2003-03-18,UG/L,<,,38.81236215,-120.901126,DOMESTIC,,,,GAMA,ED 403,LITTLE COURT
473,ED 507,1.0,AG,2004-04-22,UG/L,<,,38.878780922,-120.97974012600001,DOMESTIC,,,,GAMA,ED 507,URBAN RETREAT
520,ED 653,91.0,AL,2004-06-01,UG/L,=,,38.815952226,-120.99881286,DOMESTIC,,,,GAMA,ED 653,QUAIL HOLLOW ROAD
571,ED 363,1.0,AG,2003-03-06,UG/L,<,,38.53229756,-120.95828970000001,DOMESTIC,,,,GAMA,ED 363,LATROBE ROAD
590,ED 372,1.0,AL,2003-03-18,UG/L,<,,38.70575943,-120.94935659999999,DOMESTIC,,,,GAMA,ED 372,ROLLING RANCH
637,ED 466,1.0,AG,2003-05-13,UG/L,<,,38.80615565,-120.94549920000001,DOMESTIC,,,,GAMA,ED 466,CLARK MOUNTAIN  ROAD
638,ED 466,1.0,AL,2003-05-13,UG/L,<,,38.80615565,-120.94549920000001,DOMESTIC,,,,GAMA,ED 466,CLARK MOUNTAIN  ROAD
644,ED 469,1.0,AL,2003-05-13,UG/L,<,,38.80552586,-120.95990800000001,DOMESTIC,,,,GAMA,ED 469,HALLELUJAH TRAIL
666,ED 511,1.0,ACE,2004-04-12,UG/L,<,,38.860651321,-121.021929629,DOMESTIC,,,,GAMA,ED 511,CATECROFT LANE
671,ED 523,1.0,AL,2004-04-20,UG/L,<,,38.651078645,-120.76441431299999,DOMESTIC,,,,GAMA,ED 523,NASHVILLE ROAD
678,ED 533,1.0,AG,2004-05-14,UG/L,<,,38.818631851,-121.017904021,DOMESTIC,,,,GAMA,ED 533,VIENNA DRIVE
726,ED 623,1.0,AL,2004-05-10,UG/L,<,,38.6944236,-120.9568886,DOMESTIC,,,,GAMA,ED 623,SIERRA VISTA ROAD
746,ED 327,1.0,AG,2003-02-19,UG/L,<,,38.73402255,-120.7334495,DOMESTIC,,,,GAMA,ED 327,LEANING TREE ROAD
814,ED 526,1.0,ACE,2004-04-21,UG/L,<,,38.694443015,-120.97917918,DOMESTIC,,,,GAMA,ED 526,LITTLE OAK LANE
835,ED 407,1.0,AL,2003-03-17,UG/L,<,,38.79469298,-120.9037003,DOMESTIC,,,,GAMA,ED 407,MOUNTAIN VIEW DRIVE
852,ED 611,1.0,AL,2004-05-05,UG/L,<,,38.783848182,-120.96322428799999,DOMESTIC,,,,GAMA,ED 611,PAW PRINT PATH
903,ED 300,1.0,AL,2003-02-04,UG/L,<,,38.68442242,-120.7537351,DOMESTIC,,,,GAMA,ED 300,HIDDEN HOLLOW DRIVE
957,ED 386,1.0,AG,2003-03-13,UG/L,<,,38.79050851,-120.88595790000001,DOMESTIC,,,,GAMA,ED 386,WESTAR COURT
1017,ED 518,1.0,ACE,2004-04-26,UG/L,<,,38.80221239,-120.93608615,DOMESTIC,,,,GAMA,ED 518,GODS WAY
1076,ED 607,1.0,AL,2004-05-06,UG/L,<,,38.788051689,-120.84121589200001,DOMESTIC,,,,GAMA,ED 607,SHEEPHERDER RIDGE ROAD
1097,ED 665,1.0,AG,2004-05-27,UG/L,<,,38.684900726,-120.95415414700001,DOMESTIC,,,,GAMA,ED 665,CARLSON DRIVE
1117,ED 698,1.0,ACE,2004-05-24,UG/L,<,,39.0024122,-120.8717989,DOMESTIC,,,,GAMA,ED 698,Melody Lane
1140,ED 324,1.0,AL,2003-02-14,UG/L,<,,38.67736754,-120.72091599999999,DOMESTIC,,,,GAMA,ED 324,ROBLEDO DRIVE
1220,ED 510,1.0,ACE,2004-04-12,UG/L,<,,38.87429968,-121.013835919,DOMESTIC,,,,GAMA,ED 510,PHEASANT CREST ROAD
1239,ED 550,1.0,ACE,2004-04-29,UG/L,<,,38.829314251,-121.03154754299999,DOMESTIC,,,,GAMA,ED 550,PILOT VIEW DRIVE
1263,ED 565,1.0,AL,2004-04-27,UG/L,<,,38.768285803000005,-120.755941167,DOMESTIC,,,,GAMA,ED 565,MOSQUITO ROAD
1323,ED 662,1.0,AL,2004-05-25,UG/L,<,,38.888461929,-120.988846023,DOMESTIC,,,,GAMA,ED 662,AHWAHNEE WAY
1354,ED 356,1.0,AG,2003-03-04,UG/L,<,,38.73081093,-120.7403577,DOMESTIC,,,,GAMA,ED 356,NEWTOWN ROAD
1496,ED 613,1.0,ACE,2004-05-06,UG/L,<,,38.825942600000005,-120.802319,DOMESTIC,,,,GAMA,ED 613,TRAVERSE CREEK ROAD
1497,ED 613,1.0,AL,2004-05-06,UG/L,<,,38.825942600000005,-120.802319,DOMESTIC,,,,GAMA,ED 613,TRAVERSE CREEK ROAD
1521,ED 329,1.0,AG,2003-02-19,UG/L,<,,38.70930109,-120.7120365,DOMESTIC,,,,GAMA,ED 329,FORT JIM ROAD
1573,ED 404,1.0,AG,2003-03-18,UG/L,<,,38.74532725,-120.85285559999998,DOMESTIC,,,,GAMA,ED 404,BEALES ROAD
1609,ED 472,1.0,AL,2003-05-14,UG/L,<,,38.76842076,-120.9164146,DOMESTIC,,,,GAMA,ED 472,KEN DEREK LANE
1634,ED 537,1.0,ACE,2004-04-13,UG/L,<,,38.6278621,-120.72549864,DOMESTIC,,,,GAMA,ED 537,FREEDOM
1646,ED 540,1.0,AG,2004-04-13,UG/L,<,,38.621501879,-120.755807922,DOMESTIC,,,,GAMA,ED 540,SAND RIDGE ROAD
1672,ED 691,1.0,AG,2004-06-12,UG/L,<,,38.751893581,-120.955968455,DOMESTIC,,,,GAMA,ED 691,OAK MEADOW ROAD
1735,ED 513,1.0,AL,2004-04-14,UG/L,<,,38.814445479,-120.90131915399999,DOMESTIC,,,,GAMA,ED 513,SCOTT ROAD
1751,ED 681,1.0,AL,2004-06-02,UG/L,<,,38.791054087,-120.826517471,DOMESTIC,,,,GAMA,ED 681,BRIGHT HOPE MINE
1787,ED 477,1.0,AL,2003-05-15,UG/L,<,,38.80960349,-120.9197598,DOMESTIC,,,,GAMA,ED 477,BARKING DOG ROAD
1918,ED 580,1.0,AL,2004-04-27,UG/L,<,,38.686828379,-120.953301805,DOMESTIC,,,,GAMA,ED 580,CARLSON DRIVE
1926,ED 383,1.0,AG,2003-03-11,UG/L,<,,38.53449936,-120.9522906,DOMESTIC,,,,GAMA,ED 383,WHITE HAWK DRIVE
1927,ED 383,1.0,AL,2003-03-11,UG/L,<,,38.53449936,-120.9522906,DOMESTIC,,,,GAMA,ED 383,WHITE HAWK DRIVE
2027,ED 578,1.0,ACE,2004-04-26,UG/L,<,,38.801913331,-120.8190382,DOMESTIC,,,,GAMA,ED 578,HIGHWAY 193
2068,ED 496,59.0,ACE,2004-04-23,UG/L,=,,38.612646127,-120.861589756,DOMESTIC,,,,GAMA,ED 496,SILVA WAY
2078,ED 515,1.0,AL,2004-04-15,UG/L,<,,38.810846358,-120.925469996,DOMESTIC,,,,GAMA,ED 515,PETERSEN LANE
2098,ED 560,1.0,ACE,2004-04-20,UG/L,<,,38.669506439,-120.87496806,DOMESTIC,,,,GAMA,ED 560,KINGVALE ROAD
2119,ED 621,1.0,ACE,2004-05-18,UG/L,<,,38.765316808,-120.986388597,DOMESTIC,,,,GAMA,ED 621,LUNEMAN ROAD
2160,ED 694,1.0,AL,2004-06-17,UG/L,<,,38.793270885,-120.90314527700001,DOMESTIC,,,,GAMA,ED 694,MOUNTAIN VIEW DRIVE
2205,ED 336,1.0,AL,2003-02-21,UG/L,<,,38.70071394,-120.7626603,DOMESTIC,,,,GAMA,ED 336,CEDAR OAK ROAD
2238,ED 503,1.0,AG,2004-04-28,UG/L,<,,38.882169767,-120.998659429,DOMESTIC,,,,GAMA,ED 503,CHERRY ACRES ROAD
2277,ED 651,1.0,AL,2004-05-20,UG/L,<,,38.884220528,-121.002128212,DOMESTIC,,,,GAMA,ED 651,CHERRY ACRES ROAD
2289,ED 304,1.0,AL,2003-02-05,UG/L,<,,38.6721891,-120.7694186,DOMESTIC,,,,GAMA,ED 304,DOWELL LANE
2356,ED 512,1.0,AL,2004-04-20,UG/L,<,,38.638909999999996,-120.81808999999998,DOMESTIC,,,,GAMA,ED 512,LITTLE CANYON ROAD
2370,ED 532,1.0,AL,2004-05-10,UG/L,<,,38.825437179,-121.060228867,DOMESTIC,,,,GAMA,ED 532,BLARNEY WAY
2409,ED 645,140.0,ACE,2004-05-14,UG/L,=,,38.81732376,-121.016131219,DOMESTIC,,,,GAMA,ED 645,VIENNA DRIVE
2450,ED 425,1.0,AG,2003-04-03,UG/L,<,,38.61753781,-121.0254356,DOMESTIC,,,,GAMA,ED 425,RYAN RANCH ROAD
2470,ED 434,54.0,AL,2003-04-08,UG/L,=,,38.69137489,-120.75318090000002,DOMESTIC,,,,GAMA,ED 434,MINERAL WAY
2500,ED 548,1.0,ACE,2004-04-12,UG/L,<,,38.65379445,-120.626812496,DOMESTIC,,,,GAMA,ED 548,HAPPY VALLEY ROAD
2501,ED 548,1.0,AL,2004-04-12,UG/L,<,,38.65379445,-120.626812496,DOMESTIC,,,,GAMA,ED 548,HAPPY VALLEY ROAD
2508,ED 409,1.0,AG,2003-03-20,UG/L,<,,38.72985338,-120.9646791,DOMESTIC,,,,GAMA,ED 409,RED BUD LANE
2552,ED 301,1.0,AL,2003-04-09,UG/L,<,,38.69289634,-120.71316979999999,DOMESTIC,,,,GAMA,ED 301,PLEASANT VALLEY ROAD
2652,ED 605,1.0,AG,2004-05-06,UG/L,<,,38.8609795,-120.82102240000002,DOMESTIC,,,,GAMA,ED 605,TRACY LANE
2760,ED 486,1.0,AL,2003-05-28,UG/L,<,,38.7834078,-120.949817,DOMESTIC,,,,GAMA,ED 486,BIG CURVE COURT
2784,ED 557,1.0,AL,2004-04-22,UG/L,<,,38.658568100000004,-120.7452269,DOMESTIC,,,,GAMA,ED 557,HANKS EXCHANGE ROAD
2815,ED 673,1.0,AG,2004-06-01,UG/L,<,,38.832198106,-121.025415264,DOMESTIC,,,,GAMA,ED 673,PILOT CREEK LANE
2844,ED 369,1.0,AG,2003-03-07,UG/L,<,,38.59305882,-120.95827949999999,DOMESTIC,,,,GAMA,ED 369,TALON DRIVE
2890,ED 487,1.0,AL,2003-05-29,UG/L,<,,38.80786473,-120.9184962,DOMESTIC,,,,GAMA,ED 487,FUTURE LANE
2913,ED 556,1.0,AL,2004-04-21,UG/L,<,,38.82281026,-121.004150292,DOMESTIC,,,,GAMA,ED 556,MEADOW CROFT LANE
2938,ED 606,1.0,AG,2004-05-12,UG/L,<,,38.798624441,-120.829773234,DOMESTIC,,,,GAMA,ED 606,BAYNE ROAD
2962,ED 683,1.0,AG,2004-06-15,UG/L,<,,38.4820951,-120.82550479999999,DOMESTIC,,,,GAMA,ED 683,Fiddletown Road
2972,ED 343,1.0,AG,2003-02-26,UG/L,<,,38.70642111,-120.7152254,DOMESTIC,,,,GAMA,ED 343,FORT JIM ROAD
2973,ED 343,1.0,AL,2003-02-26,UG/L,<,,38.70642111,-120.7152254,DOMESTIC,,,,GAMA,ED 343,FORT JIM ROAD
2997,ED 392,1.0,AL,2003-03-19,UG/L,<,,38.80981325,-120.90132,DOMESTIC,,,,GAMA,ED 392,LITTLE ROAD
3054,ED 545,1.0,ACE,2004-04-12,UG/L,<,,38.627628031,-120.722395485,DOMESTIC,,,,GAMA,ED 545,CUTWAY LANE
3055,ED 545,1.0,AG,2004-04-12,UG/L,<,,38.627628031,-120.722395485,DOMESTIC,,,,GAMA,ED 545,CUTWAY LANE
3068,ED 597,1.0,AG,2004-05-04,UG/L,<,,38.838653356,-121.025720381,DOMESTIC,,,,GAMA,ED 597,PILOT CREEK LANE
3101,ED 667,1.0,AL,2004-05-26,UG/L,<,,38.80276625,-120.91359264299999,DOMESTIC,,,,GAMA,ED 667,AMOLOC LANE
3132,ED 311,1.0,AG,2003-02-06,UG/L,<,,38.6819489,-120.7617119,DOMESTIC,,,,GAMA,ED 311,WESTLEY ROAD
3150,ED 644,1.0,AG,2004-05-19,UG/L,<,,38.895304099,-120.91129671600001,DOMESTIC,,,,GAMA,ED 644,GREENWOOD ROAD
3161,ED 650,1.0,AL,2004-05-20,UG/L,<,,38.895726622,-120.93183866,DOMESTIC,,,,GAMA,ED 650,COON CREEK ROAD
3172,ED 500,1.0,ACE,2004-04-12,UG/L,<,,38.887612325999996,-120.98375679200001,DOMESTIC,,,,GAMA,ED 500,SHAVER ROAD
3446,ED 629,1.0,ACE,2004-05-18,UG/L,<,,38.763604195,-120.985594997,DOMESTIC,,,,GAMA,ED 629,LUNEMAN ROAD
3468,ED 377,1.0,AG,2003-03-17,UG/L,<,,38.59039769,-120.9786615,DOMESTIC,,,,GAMA,ED 377,MITCHELL ROAD
3493,ED 499,1.0,ACE,2004-04-13,UG/L,<,,38.66954258,-120.741696913,DOMESTIC,,,,GAMA,ED 499,NOWALK ROAD
3555,ED 357,1.0,AG,2003-03-05,UG/L,<,,38.57845220000001,-120.981416,DOMESTIC,,,,GAMA,ED 357,BRYANT ROAD
3556,ED 357,1.0,AL,2003-03-05,UG/L,<,,38.57845220000001,-120.981416,DOMESTIC,,,,GAMA,ED 357,BRYANT ROAD
3598,ED 619,1.0,AG,2004-05-12,UG/L,<,,38.69620004,-120.95656658700001,DOMESTIC,,,,GAMA,ED 619,SIERRA VISTA ROAD
3626,ED 302,1.0,AG,2003-02-04,UG/L,<,,38.67487428,-120.7700615,DOMESTIC,,,,GAMA,ED 302,OAK HILL ROAD
3664,ED 480,1.0,AL,2003-05-27,UG/L,<,,38.76197554,-120.9340179,DOMESTIC,,,,GAMA,ED 480,RED FOX  ROAD
3735,ED 598,1.0,AL,2004-05-04,UG/L,<,,38.838962074,-121.02003278,DOMESTIC,,,,GAMA,ED 598,CANTINA DRIVE
3768,ED 354,1.0,AL,2003-03-04,UG/L,<,,38.71919726,-120.7642874,DOMESTIC,,,,GAMA,ED 354,PAY DIRT ROAD
3796,ED 562,1.0,AG,2004-04-29,UG/L,<,,38.816414164,-121.023350531,DOMESTIC,,,,GAMA,ED 562,PILOT VIEW DRIVE
3804,ED 596,1.0,ACE,2004-05-05,UG/L,<,,38.655809751999996,-120.893910421,DOMESTIC,,,,GAMA,ED 596,LUMBO LANE
3814,ED 658,1.0,ACE,2004-05-24,UG/L,<,,38.690082095,-120.658331801,DOMESTIC,,,,GAMA,ED 658,ALAMEDA ROAD
3878,ED 547,1.0,ACE,2004-04-13,UG/L,<,,38.629591211,-120.730287516,DOMESTIC,,,,GAMA,ED 547,SAND RIDGE ROAD
3913,ED 674,1.0,AL,2004-06-03,UG/L,<,,38.637713245,-120.908332718,DOMESTIC,,,,GAMA,ED 674,DESPERATION DRIVE
3939,ED 387,1.0,AG,2003-03-13,UG/L,<,,38.7925083,-120.8831305,DOMESTIC,,,,GAMA,ED 387,HIGHWAY 49
4009,ED 364,1.0,AL,2003-03-06,UG/L,<,,38.54810109,-120.93632590000001,DOMESTIC,,,,GAMA,ED 364,JOAQUIN WAY
4161,ED 567,1.0,AL,2004-04-26,UG/L,<,,38.800689076,-120.817726364,DOMESTIC,,,,GAMA,ED 567,HIGHWAY 193
4201,ED 455,1.0,AL,2003-05-06,UG/L,<,,38.80838787,-120.9454735,DOMESTIC,,,,GAMA,ED 455,UNION TOWN ROAD
4229,ED 456,1.0,AL,2003-05-06,UG/L,<,,38.80449457,-120.93028090000001,DOMESTIC,,,,GAMA,ED 456,EL CAMPO ROAD
4267,ED 581,80.0,ACE,2004-04-26,UG/L,=,,38.789536493,-120.841172794,DOMESTIC,,,,GAMA,ED 581,STEWART MINE ROAD
4284,ED 379,1.0,AG,2003-03-17,UG/L,<,,38.59123498,-120.9814344,DOMESTIC,,,,GAMA,ED 379,MITCHELL ROAD
4339,SD 897,1.7,AL,2008-05-29,UG/L,=,1.0,33.38334571,-117.0481767,DOMESTIC,,,,GAMA,SD 897,SD 897
4434,TUL946,70.0,AL,2006-04-27,UG/L,=,20.0,36.09579384,-119.0429791,DOMESTIC,,,,GAMA,TUL946,TUL946
4471,TUL904,0.0,AG,2006-04-18,UG/L,ND,5.0,36.429646000000005,-119.2055773,DOMESTIC,,,,GAMA,TUL904,TUL904
4513,TUL1093,0.0,AG,2006-06-21,UG/L,ND,5.0,36.437399604,-119.322014197,DOMESTIC,,,,GAMA,TUL1093,TUL1093
4645,TUL1006,28.5,AL,2006-06-08,UG/L,=,20.0,36.02267538,-119.03561909999999,DOMESTIC,,,,GAMA,TUL1006,TUL1006
4656,TUL1075,0.0,AL,2006-06-15,UG/L,ND,20.0,36.31056409,-119.1575457,DOMESTIC,,,,GAMA,TUL1075,TUL1075
4755,TUL970,0.0,AG,2006-05-11,UG/L,ND,5.0,36.54223388,-119.23360490000002,DOMESTIC,,,,GAMA,TUL970,TUL970
4859,TUL979,0.0,AL,2006-06-06,UG/L,ND,20.0,36.04210678,-118.93685430000001,DOMESTIC,,,,GAMA,TUL979,TUL979
4868,TUL1005,12.2,AL,2006-06-06,UG/L,=,20.0,36.04449057,-119.1260179,DOMESTIC,,,,GAMA,TUL1005,TUL1005
5026,TUL955,0.0,AG,2006-04-25,UG/L,ND,5.0,36.01481263,-118.98215090000001,DOMESTIC,,,,GAMA,TUL955,TUL955
5036,TUL1074,0.0,AG,2006-06-14,UG/L,ND,5.0,36.52973009,-119.3280024,DOMESTIC,,,,GAMA,TUL1074,TUL1074
5048,TUL1072,0.0,AG,2006-06-14,UG/L,ND,5.0,36.45641364,-119.32590400000001,DOMESTIC,,,,GAMA,TUL1072,TUL1072
5076,TUL1014,0.0,AG,2006-05-25,UG/L,ND,5.0,36.51792053,-119.4581314,DOMESTIC,,,,GAMA,TUL1014,TUL1014
5130,TUL952,0.0,AG,2006-04-26,UG/L,ND,5.0,35.86664274,-119.063515,DOMESTIC,,,,GAMA,TUL952,TUL952
5140,TUL901,0.0,AG,2006-04-18,UG/L,ND,5.0,36.29637747,-119.253527,DOMESTIC,,,,GAMA,TUL901,TUL901
5141,TUL901,65.2,AL,2006-04-18,UG/L,=,20.0,36.29637747,-119.253527,DOMESTIC,,,,GAMA,TUL901,TUL901
5197,TUL1016,0.0,AL,2006-05-23,UG/L,ND,20.0,36.54744891,-119.2696325,DOMESTIC,,,,GAMA,TUL1016,TUL1016
5233,TUL1107,0.0,AL,2006-06-22,UG/L,ND,20.0,36.039944504,-118.949376446,DOMESTIC,,,,GAMA,TUL1107,TUL1107
5276,TUL917,0.0,AG,2006-04-19,UG/L,ND,5.0,36.34821818,-119.131652,DOMESTIC,,,,GAMA,TUL917,TUL917
5301,TUL1061,0.0,AL,2006-06-14,UG/L,ND,20.0,36.37625556,-119.03944070000001,DOMESTIC,,,,GAMA,TUL1061,TUL1061
5321,TUL997,0.0,AG,2006-05-17,UG/L,ND,5.0,36.13455389,-119.03914109999998,DOMESTIC,,,,GAMA,TUL997,TUL997
5330,TUL1081,18.4,AL,2006-06-15,UG/L,=,20.0,36.23634620000001,-119.2415254,DOMESTIC,,,,GAMA,TUL1081,TUL1081
5356,TUL932,0.0,AG,2006-04-25,UG/L,ND,5.0,36.18155996,-119.08856750000001,DOMESTIC,,,,GAMA,TUL932,TUL932
5459,SD 874,1.0,AL,2008-06-12,UG/L,<,1.0,32.83280397,-116.69377379999999,DOMESTIC,,,,GAMA,SD 874,SD 874
5470,SD 934,1.0,AL,2008-12-18,UG/L,<,1.0,33.202182850999996,-116.74979476700001,DOMESTIC,,,,GAMA,SD 934,SD 934
5543,MON126,36.3,AL,2011-05-12,UG/L,=,50.0,36.86454808,-121.6928832,DOMESTIC,,,,GAMA,MON126,MON126
5559,MON111,20.0,AG,2011-05-05,UG/L,<,0.02,36.81842683,-121.6498812,DOMESTIC,,,,GAMA,MON111,MON111
5560,MON111,50.0,AL,2011-05-05,UG/L,<,50.0,36.81842683,-121.6498812,DOMESTIC,,,,GAMA,MON111,MON111
5595,MON180,37.3,AL,2011-06-28,UG/L,=,50.0,36.57039123,-121.9163355,DOMESTIC,,,,GAMA,MON180,MON180
5634,SD 836,0.5,ALACL,2008-05-22,UG/L,<,0.5,33.02859457,-116.9469787,DOMESTIC,,,,GAMA,SD 836,SD 836
5652,SD 942,1.0,AG,2008-12-18,UG/L,<,1.0,33.25927401,-116.801787428,DOMESTIC,,,,GAMA,SD 942,SD 942
5665,MON144,5.0,AG,2011-05-25,UG/L,<,5.0,36.80110864,-121.71227549999999,DOMESTIC,,,,GAMA,MON144,MON144
5695,MON115,5.0,AG,2011-05-10,UG/L,<,5.0,36.56886706,-121.70975790000001,DOMESTIC,,,,GAMA,MON115,MON115
5742,MON127,52.1,AL,2011-05-17,UG/L,=,50.0,36.85438645,-121.6382428,DOMESTIC,,,,GAMA,MON127,MON127
5755,MON164,31.4,AL,2011-06-16,UG/L,=,50.0,36.28274401,-121.4587713,DOMESTIC,,,,GAMA,MON164,MON164
5784,MON135,50.0,AL,2011-05-19,UG/L,<,50.0,36.82931392,-121.6966765,DOMESTIC,,,,GAMA,MON135,MON135
5808,MON112,5.0,ACE,2011-05-05,UG/L,<,5.0,36.81929519,-121.65064369999999,DOMESTIC,,,,GAMA,MON112,MON112
5821,MON150,25.0,AG,2011-06-07,UG/L,<,25.0,36.48559369,-121.7370555,DOMESTIC,,,,GAMA,MON150,MON150
5890,MON106,50.0,AL,2011-05-04,UG/L,<,50.0,36.79692356,-121.651058,DOMESTIC,,,,GAMA,MON106,MON106
5898,MON184,50.0,AL,2011-06-27,UG/L,<,50.0,36.83283549,-121.7289646,DOMESTIC,,,,GAMA,MON184,MON184
5929,MON118,5.0,AG,2011-05-10,UG/L,<,5.0,36.5718506,-121.713835,DOMESTIC,,,,GAMA,MON118,MON118
5939,MON136,5.0,ACE,2011-05-19,UG/L,<,5.0,36.84487249,-121.7436197,DOMESTIC,,,,GAMA,MON136,MON136
6011,MON129,5.0,AG,2011-05-17,UG/L,<,5.0,36.8465321,-121.64180490000001,DOMESTIC,,,,GAMA,MON129,MON129
6126,MON158,5.0,ACE,2011-06-14,UG/L,<,5.0,36.58959283,-121.46575630000001,DOMESTIC,,,,GAMA,MON158,MON158
6187,TUL1026,0.0,AG,2006-05-23,UG/L,ND,5.0,36.44466205,-119.098975,DOMESTIC,,,,GAMA,TUL1026,TUL1026
6236,MON151,5.0,AG,2011-06-07,UG/L,<,5.0,36.50946359,-121.7630692,DOMESTIC,,,,GAMA,MON151,MON151
6353,MON148,31.7,AL,2011-05-24,UG/L,=,50.0,36.80932232,-121.63630970000001,DOMESTIC,,,,GAMA,MON148,MON148
6380,SD 914,1.0,AG,2008-12-04,UG/L,<,1.0,33.073806805,-116.583702249,DOMESTIC,,,,GAMA,SD 914,SD 914
6381,SD 914,5.0,AL,2008-12-04,UG/L,=,1.0,33.073806805,-116.583702249,DOMESTIC,,,,GAMA,SD 914,SD 914
6392,MON114,50.0,AL,2011-05-05,UG/L,<,50.0,36.79628293,-121.61914669999999,DOMESTIC,,,,GAMA,MON114,MON114
6398,MON133,50.0,AL,2011-05-19,UG/L,<,50.0,36.84699093,-121.70654750000001,DOMESTIC,,,,GAMA,MON133,MON133
6420,SD 902,2.66,AL,2008-12-02,UG/L,=,1.0,32.688473183,-116.475317727,DOMESTIC,,,,GAMA,SD 902,SD 902
6480,MON124,5.0,AG,2011-05-12,UG/L,<,5.0,36.88150509,-121.7298382,DOMESTIC,,,,GAMA,MON124,MON124
6544,MON120,5.0,ACE,2011-05-11,UG/L,<,5.0,36.82754517,-121.65514809999999,DOMESTIC,,,,GAMA,MON120,MON120
6545,MON120,50.0,AL,2011-05-11,UG/L,<,50.0,36.82754517,-121.65514809999999,DOMESTIC,,,,GAMA,MON120,MON120
6573,MON134,545.0,AL,2011-05-19,UG/L,=,50.0,36.83957295,-121.70084009999998,DOMESTIC,,,,GAMA,MON134,MON134
6639,SD 815,1.0,AL,2008-05-07,UG/L,<,1.0,33.05268137,-116.8538223,DOMESTIC,,,,GAMA,SD 815,SD 815
6662,MON140,27.1,AL,2011-05-24,UG/L,=,50.0,36.85558892,-121.6788456,DOMESTIC,,,,GAMA,MON140,MON140
6688,SD 845,1.0,AG,2008-05-29,UG/L,<,1.0,32.7959385,-116.84678819999999,DOMESTIC,,,,GAMA,SD 845,SD 845
6689,SD 845,0.5,ALACL,2008-05-29,UG/L,<,0.5,32.7959385,-116.84678819999999,DOMESTIC,,,,GAMA,SD 845,SD 845
6774,MON159,5.0,ACE,2011-06-14,UG/L,<,5.0,36.57491083,-121.58633780000001,DOMESTIC,,,,GAMA,MON159,MON159
6793,TUL1100,0.0,AG,2006-06-20,UG/L,ND,5.0,36.611719811,-119.097464341,DOMESTIC,,,,GAMA,TUL1100,TUL1100
6853,SD 898,0.5,ALACL,2008-06-10,UG/L,<,0.5,32.99023484,-116.795578,DOMESTIC,,,,GAMA,SD 898,SD 898
6867,SD 834,1.0,AG,2008-05-20,UG/L,<,1.0,33.00192861,-116.8434003,DOMESTIC,,,,GAMA,SD 834,SD 834
6936,SD 818,1.0,AL,2008-05-08,UG/L,<,1.0,33.05430832,-116.88308970000001,DOMESTIC,,,,GAMA,SD 818,SD 818
6980,SD 887,1.0,AG,2008-06-18,UG/L,<,1.0,32.8690003,-116.63529809999999,DOMESTIC,,,,GAMA,SD 887,SD 887
7018,SD 876,1.0,AG,2008-06-17,UG/L,<,1.0,32.83261164,-116.6980183,DOMESTIC,,,,GAMA,SD 876,SD 876
7019,SD 876,5.98,AL,2008-06-17,UG/L,=,1.0,32.83261164,-116.6980183,DOMESTIC,,,,GAMA,SD 876,SD 876
7071,SD 823,1.0,AG,2008-05-14,UG/L,<,1.0,33.00898541,-116.9001892,DOMESTIC,,,,GAMA,SD 823,SD 823
7081,SD 813,1.0,AG,2008-05-07,UG/L,<,1.0,33.03773988,-116.8559409,DOMESTIC,,,,GAMA,SD 813,SD 813
7107,SD 895,1.0,AL,2008-06-19,UG/L,<,1.0,32.59790882,-116.5035192,DOMESTIC,,,,GAMA,SD 895,SD 895
7177,SD 829,1.0,AG,2008-05-21,UG/L,<,1.0,33.02276822,-116.9509872,DOMESTIC,,,,GAMA,SD 829,SD 829
7199,SD 862,1.0,AG,2008-06-10,UG/L,<,1.0,32.90345485,-116.89998229999999,DOMESTIC,,,,GAMA,SD 862,SD 862
7234,TUL1009,0.0,AG,2006-06-07,UG/L,ND,5.0,36.13302253,-118.8644256,DOMESTIC,,,,GAMA,TUL1009,TUL1009
7235,TUL1009,9.71,AL,2006-06-07,UG/L,=,20.0,36.13302253,-118.8644256,DOMESTIC,,,,GAMA,TUL1009,TUL1009
