,well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,well_depth_ft,top_of_screen_ft,screen_length_ft,source,source_name,other_names
221856,NSAC-11,0.12,ALDICARB,2007-11-26,UG/L,<,0.12,40.18558333,-122.18869444,MUNICIPAL,80.0,0.0,0.0,USGS,NSAC-11,NSAC-11
221892,S7-SAC-NA19,1.0,AG,2017-10-17,UG/L,<,1.0,38.90572222,-121.57525,MUNICIPAL,147.0,120.0,27.0,USGS,S7-SAC-NA19,S7-SAC-NA19
221976,WSAC-FP-02,0.06,ACETAMPHEN,2006-08-15,UG/L,<,0.06,39.72791667,-122.20719444,MUNICIPAL,421.0,0.0,0.0,USGS,WSAC-FP-02,WSAC-FP-02
222008,ESAC-27,0.2,AG,2006-08-02,UG/L,<,0.2,39.15472222,-121.59266667,MUNICIPAL,135.0,65.0,60.0,USGS,ESAC-27,ESAC-27
222009,ESAC-27,0.005,ALACL,2006-08-02,UG/L,<,0.005,39.15472222,-121.59266667,MUNICIPAL,135.0,65.0,60.0,USGS,ESAC-27,ESAC-27
222076,YOL-09,0.06,ACETAMPHEN,2005-05-17,UG/L,<,0.06,38.66055556,-121.61194444,MUNICIPAL,0.0,0.0,0.0,USGS,YOL-09,YOL-09
222077,YOL-09,0.005,ALACL,2005-05-17,UG/L,<,0.005,38.66055556,-121.61194444,MUNICIPAL,0.0,0.0,0.0,USGS,YOL-09,YOL-09
222078,YOL-09,0.04,ALBUTEROL,2005-05-17,UG/L,<,0.04,38.66055556,-121.61194444,MUNICIPAL,0.0,0.0,0.0,USGS,YOL-09,YOL-09
222079,YOL-09,0.04,ALDICARB,2005-05-17,UG/L,<,0.04,38.66055556,-121.61194444,MUNICIPAL,0.0,0.0,0.0,USGS,YOL-09,YOL-09
222131,S9_REDBLS_RB14,3.0,AL,2018-12-17,UG/L,<,3.0,40.19605556,-122.23019444,MUNICIPAL,,,,USGS,S9_REDBLS_RB14,S9_REDBLS_RB14
222260,WSAC-05,0.005,ALACL,2006-07-12,UG/L,<,0.005,39.81383333,-122.32872222,MUNICIPAL,236.0,136.0,100.0,USGS,WSAC-05,WSAC-05
222269,SAM-08,0.06,17DIMETHYLX,2005-04-05,UG/L,<,0.06,38.56638889,-121.35972222,MUNICIPAL,298.0,220.0,-220.0,USGS,SAM-08,SAM-08
222313,ESAC-13,0.15,ALDICARB,2006-07-17,UG/L,<,0.15,39.93986111,-122.05886111,MUNICIPAL,355.0,0.0,0.0,USGS,ESAC-13,ESAC-13
222448,YOLFP-13,0.06,17DIMETHYLX,2005-04-21,UG/L,<,0.06,38.54722222,-121.77822222,MUNICIPAL,456.0,258.0,188.0,USGS,YOLFP-13,YOLFP-13
222449,YOLFP-13,0.06,ACETAMPHEN,2005-04-21,UG/L,<,0.06,38.54722222,-121.77822222,MUNICIPAL,456.0,258.0,188.0,USGS,YOLFP-13,YOLFP-13
222467,YOL-01,0.06,17DIMETHYLX,2005-04-11,UG/L,<,0.06,38.68680556,-121.76630556,MUNICIPAL,470.0,210.0,250.0,USGS,YOL-01,YOL-01
222511,YOL-01,0.02,AG,2014-03-13,UG/L,<,0.02,38.68680556,-121.76630556,MUNICIPAL,470.0,210.0,250.0,USGS,YOL-01,YOL-01
222540,YOLFP-12,0.06,ACETAMPHEN,2005-04-20,UG/L,<,0.06,38.52802778,-121.80291667,MUNICIPAL,857.0,822.0,20.0,USGS,YOLFP-12,YOLFP-12
222558,YOL-03,0.04,ALBUTEROL,2005-04-19,UG/L,<,0.04,38.53194444,-121.75555556,MUNICIPAL,1450.0,1264.0,168.0,USGS,YOL-03,YOL-03
222609,S7-SAC-C03,3.0,AL,2017-08-08,UG/L,<,3.0,38.41186111,-121.21022222,MUNICIPAL,280.0,250.0,50.0,USGS,S7-SAC-C03,S7-SAC-C03
222639,ESAC-29,0.06,ACETAMPHEN,2006-08-03,UG/L,<,0.06,38.79319444,-121.68858333,MUNICIPAL,215.0,0.0,0.0,USGS,ESAC-29,ESAC-29
222656,S10-ESJB-14,3.0,AL,2019-07-10,UG/L,<,3.0,38.23644444,-121.09538889,MUNICIPAL,,,,USGS,S10-ESJB-14,S10-ESJB-14
222672,SUI-03,0.04,ALBUTEROL,2005-05-12,UG/L,<,0.04,38.20433333,-121.87461111,MUNICIPAL,225.0,60.0,20.0,USGS,SUI-03,SUI-03
222679,SUI-03,0.1,AG,2008-04-09,UG/L,<,0.1,38.20433333,-121.87461111,MUNICIPAL,225.0,60.0,20.0,USGS,SUI-03,SUI-03
222747,SOL-06,0.008,ALACL,2011-12-14,UG/L,<,0.008,38.24055556,-121.51111111,MUNICIPAL,244.0,228.0,12.0,USGS,SOL-06,SOL-06
222760,SOL-06,0.02,AG,2014-04-22,UG/L,<,0.02,38.24055556,-121.51111111,MUNICIPAL,244.0,228.0,12.0,USGS,SOL-06,SOL-06
222795,COS-06,0.04,ALBUTEROL,2004-12-15,UG/L,<,0.04,38.19102778,-121.32161111,MUNICIPAL,117.0,117.0,-117.0,USGS,COS-06,COS-06
222809,SOL-07,0.04,ALBUTEROL,2005-04-21,UG/L,<,0.04,38.16280556,-121.60336111,MUNICIPAL,335.0,95.0,-95.0,USGS,SOL-07,SOL-07
222988,MSSV-07,0.06,17DIMETHYLX,2005-08-02,UG/L,<,0.06,36.20166667,-121.13327778,MUNICIPAL,212.0,130.0,72.0,USGS,MSSV-07,MSSV-07
222989,MSSV-07,0.2,AG,2005-08-02,UG/L,<,0.2,36.20166667,-121.13327778,MUNICIPAL,212.0,130.0,72.0,USGS,MSSV-07,MSSV-07
222990,MSSV-07,0.04,ALDICARB,2005-08-02,UG/L,<,0.04,36.20166667,-121.13327778,MUNICIPAL,212.0,130.0,72.0,USGS,MSSV-07,MSSV-07
223093,MSSV-02,0.005,ALACL,2005-08-04,UG/L,<,0.005,36.01372222,-120.91525,MUNICIPAL,130.0,80.0,50.0,USGS,MSSV-02,MSSV-02
223109,MSSV-02,2.2,AL,2014-08-12,UG/L,<,2.2,36.01372222,-120.91525,MUNICIPAL,130.0,80.0,50.0,USGS,MSSV-02,MSSV-02
223120,MSSV-19,0.2,AG,2005-07-27,UG/L,<,0.2,36.47122222,-121.37772222,MUNICIPAL,830.0,500.0,316.0,USGS,MSSV-19,MSSV-19
223251,S-MS-SV24,0.008,ALACL,2012-11-06,UG/L,<,0.008,36.32830556,-121.26041667,MUNICIPAL,670.0,550.0,100.0,USGS,S-MS-SV24,S-MS-SV24
223302,S-MS-SV29,0.024,AG,2012-11-08,UG/L,,0.005,36.18994444,-121.06894444,MUNICIPAL,84.0,70.0,10.0,USGS,S-MS-SV29,S-MS-SV29
223331,MSSV-03,0.2,AG,2005-09-12,UG/L,<,0.2,36.10730556,-121.01022222,MUNICIPAL,140.0,90.0,50.0,USGS,MSSV-03,MSSV-03
223344,MSSV-03,0.04,AG,2014-09-10,UG/L,<,0.02,36.10730556,-121.01022222,MUNICIPAL,140.0,90.0,50.0,USGS,MSSV-03,MSSV-03
223352,S-MS-SV30,0.015,AG,2013-03-19,UG/L,<,0.005,36.33811111,-121.22916667,MUNICIPAL,200.0,0.0,0.0,USGS,S-MS-SV30,S-MS-SV30
223372,S-MS-SV30,30.0,AL,2018-01-25,UG/L,<,3.0,36.33811111,-121.22916667,MUNICIPAL,200.0,0.0,0.0,USGS,S-MS-SV30,S-MS-SV30
223400,MSSV-10,0.005,ALACL,2005-09-21,UG/L,<,0.005,36.27538889,-121.189,MUNICIPAL,0.0,0.0,0.0,USGS,MSSV-10,MSSV-10
